Wavelenght (m);Intensity (counts)
619.308;509.7000122
619.885;496.5
620.462;507.2000122
621.039;574.5999756
621.616;539.2000122
622.193;620.2000122
622.769;868.5999756
623.346;986.4000244
623.923;1342.599976
624.500;2125
625.076;2451.699951
625.653;3535.600098
626.229;3136.199951
626.806;2561.300049
627.382;1840
627.959;882.2999878
628.535;680.5
629.112;597
629.688;632.7000122
630.264;532.4000244
630.840;648
631.417;540.2000122
631.993;538.4000244
632.569;458.8999939
633.145;464.7999878
633.721;488.3999939
634.297;478.2000122
634.873;493.5
635.449;453.8999939
636.025;438.3999939
636.601;509.7000122
637.177;517.0999756
637.752;435.5
638.328;481.2000122
638.904;445.1000061
639.479;467.1000061
640.055;485
640.631;470.6000061
641.206;598.5
641.782;544.2999878
642.357;573.2000122
642.932;592.2000122
643.508;583.4000244
644.083;667.5999756
644.658;665.5
645.234;551.4000244
645.809;563
646.384;543.5999756
646.959;553.5
647.534;592.5999756
648.109;493
648.684;480.2999878
649.259;473.2999878
649.834;559.5
650.409;514.7999878
650.984;469.5
651.559;512.2999878
652.133;565.2000122
652.708;426.7999878
653.283;450.3999939
653.858;455.3999939
654.432;417.2000122
655.007;448.3999939
655.581;482.2999878
656.156;474.6000061
656.730;409.7999878
657.305;422.7999878
657.879;484.7999878
658.453;460.6000061
659.028;444.3999939
659.602;432.2999878
660.176;455.7999878
660.750;479.3999939
661.324;474.2000122
661.898;448.7999878
662.472;468.2000122
663.046;400.3999939
663.620;414
664.194;448.2000122
664.768;418.1000061
665.342;524.2000122
665.916;479.8999939
666.490;477.8999939
667.063;390
667.637;429.1000061
668.211;429.7999878
668.784;458.1000061
669.358;503.6000061
669.931;450.2000122
670.505;556.5
671.078;823.7999878
671.652;892.7999878
672.225;801.0999756
672.798;700.5
673.372;476
673.945;469.3999939
674.518;455.6000061
675.091;462.8999939
675.664;427.2000122
676.237;534.5999756
676.810;512.0999756
677.383;435.8999939
677.956;446.1000061
678.529;471.2999878
679.102;436.7999878
679.675;428
680.248;503.3999939
680.820;432.2000122
681.393;439.6000061
681.966;431.7000122
682.538;426.2999878
683.111;419.3999939
683.683;440.2000122
684.256;430.7999878
684.828;447.2000122
685.401;453.7999878
685.973;433.1000061
686.546;483.7999878
687.118;468.8999939
687.690;426.2000122
688.262;522.2999878
688.834;617.0999756
689.407;744.7000122
689.979;2605.5
690.551;3750.100098
691.123;3773.800049
691.695;3550.199951
692.267;1332.900024
692.839;638.9000244
693.410;554.7999878
693.982;498.1000061
694.554;448.6000061
695.126;497.2999878
695.697;438.7999878
696.269;451.1000061
696.841;440.5
697.412;449.2000122
697.984;520
698.555;459.1000061
699.126;416.5
699.698;406.2999878
700.269;363.7999878
700.841;430.5
701.412;416.7999878
701.983;396
702.554;433.2999878
703.125;421.2999878
703.696;463.2999878
704.267;404.2999878
704.838;426.1000061
705.409;416
705.980;426.2999878
706.551;402.3999939
707.122;558.7999878
707.693;1075
708.264;1299.800049
708.834;1394.199951
709.405;1117.699951
709.976;672.7000122
710.546;672
711.117;482.8999939
711.687;346.6000061
712.258;381.2000122
712.828;335.7999878
713.399;378.6000061
713.969;374.7000122
714.539;303.2999878
715.110;396.3999939
715.680;360.5
716.250;315.8999939
716.820;339
717.390;362.3999939
717.960;365.2000122
718.530;347.1000061
719.100;357.1000061
719.670;340.6000061
720.240;361.5
720.810;315
721.380;343.3999939
721.950;405.3999939
722.519;329.7000122
723.089;310.3999939
723.659;305.7000122
724.228;327.7999878
724.798;299.8999939
725.367;258.5
725.937;305.1000061
726.506;339.3999939
727.076;282.7000122
727.645;277.5
728.214;286.6000061
728.783;266
729.353;280.2999878
729.922;308.8999939
730.491;435.2000122
731.060;283.6000061
731.629;323
732.198;242.6000061
732.767;279.7000122
733.336;274.7999878
733.905;340.7000122
734.474;315.8999939
735.043;314.5
735.611;269.7999878
736.180;299.7999878
736.749;305
737.317;318.5
737.886;355.2000122
738.454;274.8999939
739.023;319.2000122
739.591;251.8000031
